"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"120",2017-03-18,22212,2.9,11.7,4.1,5.6,2.5,0,0,1,0,0
"121",2017-08-06,53907,13.5,22.3,0,2.7,10.883,0,0,0,1,0
"122",2017-04-08,41889,7.9,15.2,0,7.2,2.2,0,0,1,0,0
"123",2017-07-13,88838,11.6,19.3,0,5.7,4.767,0,0,0,0,0
"124",2017-01-19,28372,-4.4,-1.3,0,7.2,0,0,0,0,0,0
"125",2017-01-17,27967,-5.8,1,0,2.4,7,0,0,0,0,0
"126",2017-06-11,69707,15,29.4,0.8,5.2,11,0,0,0,1,0
"127",2017-07-22,44318,17.1,27.4,19.7,5.5,6.2,0,0,1,0,0
"128",2017-01-31,17459,-0.4,0.1,0,8,0,0,0,0,0,0
"129",2017-12-23,16410,4.4,9.6,0,7.9,0,0,0,1,0,0
"130",2017-04-09,57029,8.4,19.2,0,3.2,9.3,0,0,0,1,0
"131",2017-06-23,72367,16.7,23.6,0,6.9,1.183,0,0,0,0,0
"132",2017-05-27,67629,12.4,27.1,0,0.3,15.233,0,0,1,0,0
"133",2017-03-16,63647,4.1,12.8,0,5.5,1.9,0,0,0,0,0
"134",2017-01-16,23852,-5.3,-0.8,0,6.1,3.2,0,0,0,0,0
"135",2017-12-01,48864,-0.4,3.2,0.4,7.3,0.017,0,0,0,0,0
"136",2017-01-09,20296,-2.6,-0.3,0,8,0,0,0,0,0,0
"137",2017-02-19,19558,1,7.8,1.7,7.1,1.7,0,0,0,1,0
"138",2017-04-02,52092,9.4,18.4,0,4.3,8.1,0,0,0,1,0
"139",2017-05-02,54869,8.5,11.1,2.3,7.4,0.033,0,0,0,0,0
"140",2017-06-01,101895,9.5,22.8,0,2.1,15.35,0,0,0,0,0
"141",2017-12-11,34371,0.4,6.6,3.1,7,0,0,0,0,0,0
"142",2017-07-26,25328,15.4,17.2,17.1,7.8,0,0,0,0,0,0
"143",2017-11-23,65995,5,12.7,0,4.4,1.167,0,0,0,0,0
"144",2017-12-30,15075,-1.7,9.6,3.3,6.5,0,0,0,1,0,0
"145",2017-12-14,40210,1.4,4.9,2.5,7.2,0.067,0,0,0,0,0
"146",2017-05-20,55892,12.2,19.8,0,5.4,3.767,0,0,1,0,0
"147",2017-05-06,48927,8.9,16.8,0,7,2.333,0,0,1,0,0
"148",2017-12-09,20327,-0.4,2.9,3.3,7,0,0,0,1,0,0
"149",2017-09-29,80386,11.1,20.8,0,3.1,9.017,0,0,0,0,0
"150",2017-08-20,50164,12.1,21.5,0,4,8.183,0,0,0,1,0
"151",2017-01-15,9405,-1,1.1,0.8,7.8,0,0,0,0,1,0
"152",2017-09-10,49779,12.3,20.9,0,4.9,5.583,0,0,0,1,0
"153",2017-09-08,64618,11.7,18.1,0.3,7.1,0,0,0,0,0,0
"154",2017-07-14,86965,11.7,22.3,0,6.1,7.117,0,0,0,0,0
"155",2017-07-20,82501,19.3,29.1,0.5,5.6,7.9,0,0,0,0,0
"156",2017-12-28,20585,1.2,4.5,0.1,7.3,0,0,0,0,0,0
"157",2017-08-29,99900,13,27.1,0,0.8,12.867,0,0,0,0,0
"158",2017-05-07,52725,9.1,19,0.2,5.5,7.133,0,0,0,1,0
"159",2017-05-13,42368,11.5,19.7,0,6.9,0.867,0,0,1,0,0
"160",2017-02-10,30589,-5.7,0.7,0,4.3,4.8,0,0,0,0,0
"161",2017-10-31,26946,4.6,9.1,1.8,7,0.017,0,0,0,1,0
"162",2017-06-08,80278,12.2,21,0,6.7,3.133,0,0,0,0,0
"163",2017-04-27,72953,0.9,13.2,0,4.4,8.3,0,0,0,0,0
"164",2017-03-13,54438,-2,9.6,0,5.6,4.8,0,0,0,0,0
"165",2017-02-05,14209,0.3,2.5,0,8,0,0,0,0,1,0
"166",2017-09-24,29811,12.7,16.8,1.4,7.5,0.9,0,0,0,1,0
"167",2017-11-18,29669,1.8,6.3,1.4,6.8,0.433,0,0,1,0,0
"168",2017-06-06,71620,13.6,26.1,5.3,6.7,5.333,0,0,0,0,0
"169",2017-10-22,35046,10.3,15.1,0.3,6.7,3.017,0,0,0,1,0
"170",2017-10-15,54801,10.9,21.9,0,0.9,8.817,0,0,0,1,0
"171",2017-09-14,66993,10.4,15.5,1.3,5.3,1.417,0,0,0,0,0
"172",2017-04-16,16572,3.8,9,6.4,6.5,2.1,0,0,0,1,0
