"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"464",2019-10-17,35258,9.1,16.6,0,0,0,0,0,0
"465",2019-02-17,15490,2.5,11.1,0,0,0,0,1,0
"466",2019-04-10,25086,8.5,13.6,6,0,0,0,0,0
"467",2019-05-14,21938,7.4,11.2,5.4,0,0,0,0,0
"468",2019-08-20,45228,21.7,28.8,0.6,0,0,0,0,0
"469",2019-01-11,11388,-0.7,1,1.6,0,0,0,0,0
"470",2019-09-26,38956,15.3,20.5,0,0,0,0,0,0
"471",2019-10-14,33810,11.4,17.8,0,0,0,0,0,0
"472",2019-12-16,19179,3.4,5.2,0,0,0,0,0,0
"473",2019-03-22,31140,5,16.8,0,0,0,0,0,0
"474",2019-09-13,44708,18.5,25.7,0,0,0,0,0,0
"475",2019-01-09,9678,2.1,5.6,6.3,0,0,0,0,0
"476",2019-02-23,8478,-3.3,1.6,0,0,0,1,0,0
"477",2019-05-26,35404,16.8,24.3,0.2,0,0,0,1,0
"478",2019-12-08,11332,3.3,10.7,0,0,0,0,1,0
"479",2019-01-31,13329,-0.2,1.3,0,0,0,0,0,0
"480",2019-08-24,34502,20.9,29.6,0,0,0,1,0,0
"481",2019-03-13,20481,4.2,10,0,0,0,0,0,0
"482",2019-12-04,19618,-0.8,3.1,0,0,0,0,0,0
"483",2019-01-06,3824,1.8,3.4,1.9,0,0,0,1,0
"484",2019-05-01,33573,10.5,18,0.1,0,0,0,1,0
"485",2019-12-06,15057,-1,0.6,0,0,0,0,0,0
"486",2019-06-28,50530,20.2,28.2,0,0,0,0,0,0
"487",2019-10-12,22629,9.9,15.8,0,0,0,1,0,0
"488",2019-01-25,10651,-2.4,-0.1,0,0,0,0,0,0
"489",2019-12-30,7863,-1.6,2.9,0,0,0,0,0,0
"490",2019-02-08,12675,1.7,9.4,0.2,0,0,0,0,0
