"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"230",2018-10-07,8062,11.2,20.9,0,85,1,0,0,0,1,0
"231",2018-10-20,9208,6.3,15.5,0,81,3.4,0,0,1,0,0
"232",2018-04-18,20951,7.1,22.5,0,11,13.1,0,0,0,0,0
"233",2018-09-28,15482,8.6,21.7,0,25,10.7,0,0,0,0,0
"234",2018-09-27,16363,6.1,22.5,0,4,11.6,0,0,0,0,0
"235",2018-08-27,14447,8.3,25.5,0,59,9.9,0,0,0,0,0
"236",2018-07-28,13839,17.1,30,0.5,56,10,0,0,1,0,0
"237",2018-04-07,13123,3.4,20.6,0,0,12.8,0,0,1,0,0
"238",2018-08-12,10526,12,28.8,0,25,13.8,0,0,0,1,0
"239",2018-12-31,1363,2.1,4.6,6.7,94,0,0,0,0,0,0
"240",2018-02-22,4075,-4.1,-1.9,0.3,93,0,0,0,0,0,0
"241",2018-02-25,1502,-10,-4.4,0,11,10,0,0,0,1,0
"242",2018-12-06,9154,4,11.5,0,98,1,0,0,0,0,0
"243",2018-07-18,23583,16,28.2,0,19,13.5,0,0,0,0,0
"244",2018-09-13,15580,15.7,25.3,13.7,88,3.1,0,0,0,0,0
"245",2018-07-20,21584,14.7,29.9,7.1,61,11.5,0,0,0,0,0
"246",2018-03-16,8327,3.8,12.1,0.2,85,3.5,0,0,0,0,0
"247",2018-01-02,3634,3,7.2,3.2,93,0.5,0,0,0,0,0
"248",2018-12-27,3059,-5.4,2,0,94,3.5,0,0,0,0,0
"249",2018-05-11,16242,9.2,21.4,0,75,9.7,0,0,0,0,0
"250",2018-08-21,17207,16.7,29.8,0,10,12.3,0,0,0,0,0
"251",2018-11-11,7418,6,15.8,0,58,5.8,0,0,0,1,0
"252",2018-06-05,24142,15.9,27.9,0,18,13.3,0,0,0,0,0
"253",2018-07-16,14293,15,25.4,0.1,74,7.6,0,0,0,0,0
"254",2018-08-08,20434,18.8,30.4,0,50,11.1,0,0,0,0,0
"255",2018-08-23,13275,19.6,29.9,0.2,73,9.5,0,0,0,0,0
"256",2018-01-01,1896,3.5,8.4,0.1,75,2.1,0,0,0,1,0
"257",2018-06-22,17388,10,17.2,0,33,11.3,0,0,0,0,0
"258",2018-03-24,5903,-0.1,9.8,0,63,11.5,0,0,1,0,0
"259",2018-07-27,23540,16.8,29.8,0,15,13.4,0,0,0,0,0
"260",2018-08-07,17422,20.5,32,0.4,70,6.8,0,0,0,0,0
"261",2018-12-12,6260,-0.4,1.2,0.7,98,0,0,0,0,0,0
"262",2018-04-13,14698,8.2,19.2,0,93,7.8,0,0,0,0,0
"263",2018-09-10,17861,11.3,25.5,0,54,10.9,0,0,0,0,0
"264",2018-06-29,13127,14.6,23.8,0,85,4.3,0,0,0,0,0
"265",2018-06-11,18770,17.1,29.7,2.2,50,9.6,0,0,0,0,0
"266",2018-08-09,17439,17.9,35.1,22.6,69,10.4,0,0,0,0,0
"267",2018-06-12,11805,15.3,24.1,61.7,95,2.2,0,0,0,0,0
"268",2018-06-16,15866,10.7,25.1,0,26,14,0,0,1,0,0
"269",2018-02-18,1085,-3.8,1.3,0,84,0,0,0,0,1,0
"270",2018-07-09,21916,13.3,26.8,0,73,12.5,0,0,0,0,0
"271",2018-06-10,14172,16.9,26.5,0.1,56,11.2,0,0,0,1,0
"272",2018-05-21,14938,10,24.4,0,35,12.1,0,0,0,1,0
"273",2018-09-04,5988,14.2,19.7,11,94,3.1,0,0,0,0,0
"274",2018-08-17,16218,14.5,29,0,36,12.7,0,0,0,0,0
"275",2018-10-10,16703,10.5,20.6,0,41,7.5,0,0,0,0,0
"276",2018-11-03,5132,7.8,10.9,0,100,0,0,0,1,0,0
"277",2018-01-25,9829,2.7,14.4,0,98,5.4,0,0,0,0,0
"278",2018-03-22,6757,-4.7,4.8,1.6,74,6.8,0,0,0,0,0
"279",2018-08-10,7571,13.7,18.6,8.5,83,0.2,0,0,0,0,0
"280",2018-07-22,2760,15.9,18.5,18.1,96,0,0,0,0,1,0
"281",2018-04-14,15118,6.6,20.3,0,66,11.5,0,0,1,0,0
"282",2018-01-03,3079,2.9,14.5,16.9,95,0.2,0,0,0,0,0
