"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"112",2017-04-10,14282,"5.7","14.9","0.0","4.5",2.7,0,0,0,0,0
"113",2017-11-21,9513,"9.5","10.9","2.2","7.9",0,0,0,0,0,0
"114",2017-10-10,13477,"12.3","15.9","0.2","7.4",0.183,0,0,0,0,0
"115",2017-03-06,9346,"4.9","8.3","2.0","7.4",0.1,0,0,0,0,0
"116",2017-12-04,8808,"3.3","7.6","1.1","7.5",0,0,0,0,0,0
"117",2017-10-20,10186,"10.8","17.0","3.4","6.6",1.75,0,0,0,0,0
"118",2017-12-16,5627,"-0.4","5.8","3.4","6.0",2.583,0,0,1,0,0
"119",2017-05-04,13763,"8.4","13.7","0.2","7.7",0.367,0,0,0,0,0
"120",2017-03-18,3448,"5.9","12.2","11.2","8.0",0,0,0,1,0,0
"121",2017-08-06,21087,"10.5","22.4","0.0","1.8",10.4,0,0,0,1,0
"122",2017-04-08,14002,"4.3","15.3","0.0","4.6",4.7,0,0,1,0,0
"123",2017-07-13,25356,"7.3","21.0","0.0","4.0",9.95,0,0,0,0,0
"124",2017-01-19,9968,"-8.1","4.4","0.0","1.2",7.3,0,0,0,0,0
"125",2017-01-17,10245,"-5.8","0.4","0.0","3.6",6.8,0,0,0,0,0
"126",2017-06-11,18769,"16.7","29.3","0.4","5.5",5.417,0,0,0,1,0
"127",2017-07-22,19793,"16.9","28.0","7.0","5.3",8.7,0,0,1,0,0
"128",2017-01-31,10589,"1.5","4.2","0.0","7.7",0,0,0,0,0,0
"129",2017-12-23,4695,"8.2","9.7","0.1","8.0",0,0,0,1,0,0
"130",2017-04-09,26101,"1.1","23.1","0.0","0.0",12,0,0,0,1,0
"131",2017-06-23,23508,"17.3","26.4","0.0","6.3",5.867,0,0,0,0,0
"132",2017-05-27,17174,"14.6","31.3","0.0","0.9",15,0,0,1,0,0
"133",2017-03-16,22241,"1.4","16.9","0.0","1.5",10.6,0,0,0,0,0
"134",2017-01-16,10272,"-4.8","2.0","0.0","4.9",2.3,0,0,0,0,0
